n,mse,a.mse,b.mse,mse.d,mse.t
2048,0.3119285736808997,0.04705613857023183,0.04597918839512293,0.43596646981393605,0.6994477252570364
2048,0.18972832797213648,0.03920737568066421,0.050220367661826006,0.23710230772096239,0.6643034038362446
2048,0.23172126949554503,0.036392785738872696,0.045259359047674814,0.21294610925525287,0.4196631929348228
2048,0.24465100581340607,0.0414644130057406,0.0429851674756007,0.40699707958984804,0.678248117680242
2048,0.35447945566177286,0.03560981833464014,0.05451721668849953,0.32786620709830416,0.556941729439296
2048,0.39677086302857,0.039676885187243646,0.044621615971694194,0.46537338310750215,0.6984419823743152
2048,0.2984649106041894,0.04374401728013053,0.04445212496776217,0.33112239375518904,0.5694445148533218
2048,0.34781470011389015,0.03380578596851735,0.03635852652890826,0.43671383525570856,0.5542931458663358
2048,0.4033213873272554,0.03316835889179107,0.028633093986977144,0.3855842831753385,0.6299210027324424
2048,0.38658703767507135,0.030307488335367047,0.04088811373594941,0.4768640469387368,0.8415414519674409
2048,0.47272055215642056,0.04004915701737733,0.04462746376105081,0.5903129061921372,0.8761712557925276
2048,0.37053202121468243,0.0364813508855021,0.04852474953925878,0.4412806234877048,0.8741246414556082
2048,0.19721873323763287,0.03830812855755613,0.042916629466153135,0.34409120056053766,0.8562545278081505
2048,0.41696109661447134,0.034430001633925685,0.04881638828639399,0.3734799636491406,0.7463817151715603
2048,0.21146064213453178,0.043480448592178755,0.044914734821039096,0.284009106069506,0.4270163374801791
2048,0.2558664354700294,0.0339045573201255,0.0430657849812091,0.2973882496434595,0.5657599680235289
2048,0.21859861521433632,0.046730556092644066,0.045899287876136424,0.43138336798418353,0.7455454438546266
2048,0.23150702047022073,0.035149562747477825,0.042562711592536176,0.3165565154570578,0.6129164748515313
2048,0.25221544796783363,0.03966067837533245,0.041317196655246594,0.28385732068721725,0.588374775469678
2048,0.2835877860666495,0.034961536687049315,0.0381601165773639,0.35382981127820234,0.6979501800928444
2048,0.3425056776806792,0.027094651935989172,0.039381175373846854,0.3254837828943504,0.518774881057276
2048,0.5395339433116932,0.030239968466779787,0.04103245806744318,0.6458303562310818,0.9975901356544369
2048,0.3146709671571759,0.04019221216102516,0.04109007724264664,0.37085968086639526,0.6200532682512367
2048,0.4409414647801691,0.03861214210256295,0.05758984047294894,0.4659103146948934,0.7104845654663118
2048,0.26722360456231165,0.03793750292377387,0.049106558469435374,0.3145662117034626,0.43439788133046686
2048,0.4102252133680484,0.03780387213982675,0.04562572456684436,0.5161010002912892,0.9217004122989828
2048,0.22199815136528966,0.03738683362404571,0.04492239540234939,0.3900889125095731,0.8197035648783915
2048,0.35503065592276156,0.043805836211832136,0.04291002332132631,0.5078491855427616,0.969246807828017
2048,0.3198167233243043,0.043714849579282025,0.052557255526408046,0.42620553530148897,0.8695049840158029
2048,0.32340104624468835,0.04100679510235757,0.043579495003281205,0.44611476445151604,0.6222085594336387
2048,0.2985325677973835,0.02672979003813149,0.043688850523496074,0.35723253153638085,0.5499093100307433
2048,0.27445198779247243,0.043510775903832295,0.047891276802724626,0.31557617874549815,0.7238523957848823
2048,0.11539514454606803,0.03109205057146032,0.045046755479961675,0.18178379126374108,0.4321076373738247
2048,0.25887145415902957,0.03247680261504446,0.04763352625094835,0.26789097687476576,0.4253478612151528
2048,0.2958318890768102,0.035798120094276284,0.04697876875225648,0.42418667781717656,0.8641672971425628
2048,0.13447278995887216,0.050960603685575284,0.05062495225845066,0.24826349201030617,0.6651786144848136
2048,0.2780297867562337,0.03747292780840746,0.048584962216979034,0.2926171060849468,0.5584620923997355
2048,0.30922608062303264,0.03143196269037629,0.03810564893989895,0.34250616467854306,0.5685702108136227
2048,0.41719741218918693,0.03966269289258856,0.04295111218714934,0.3977986905169672,0.5700127618060118
2048,0.27063733884085517,0.04197731249434799,0.040367479225505654,0.2817983924980108,0.4953305206119667
2048,0.24204896238680476,0.03206183188729487,0.043618164004902704,0.2921288593632792,0.6630804031519478
2048,0.38202256247571076,0.022453425119970286,0.03825608997138444,0.572341251037882,0.9474573104772537
2048,0.29128576308275034,0.03838140040948218,0.04630808627954612,0.35869620522308976,0.7031213915242445
2048,0.2504049679631865,0.04600687460018006,0.055533308260417864,0.2955751139348173,0.462996728513459
2048,0.4518229441152064,0.04031429451450619,0.04019055824741807,0.5128719307636525,0.901719677504301
2048,0.26113499810400465,0.03973992090932349,0.041862155250490134,0.3654310865270346,0.6232702995314114
2048,0.28305222416673276,0.03158385216557504,0.044880197448223975,0.3674736693839649,0.5613108136972543
2048,0.35140117231142765,0.03392709185538511,0.049959559299781894,0.4082336447878243,0.5003012085472628
2048,0.2347184126358553,0.03256177229560183,0.03696411197223246,0.20751000412022536,0.2931701563083262
2048,0.24163283535109953,0.03547012325022479,0.04490543585146501,0.281781322143586,0.5116473347348105
1024,0.28329422334563753,0.05239901985544747,0.05922178645111819,0.33956660471121497,0.533183787996539
1024,0.29782276458430784,0.06304530931069793,0.05641141219049079,0.3220342961193862,0.5995637846081433
1024,0.13988019593252546,0.05512319859873853,0.05341087227074659,0.21453328452040943,0.524215580947596
1024,0.26243797940560865,0.05108759035255466,0.05564762065020742,0.30803692347041917,0.5674375871364545
1024,0.3894511925971578,0.060908051430400456,0.05608730556622528,0.425425089419366,0.5768854129335941
1024,0.47720230090967714,0.061512669529339044,0.05139144368759416,0.505190565739222,0.7248412590513886
1024,0.31154007609889234,0.05007490411982766,0.0489157057932294,0.3802441847613435,0.7350769597646555
1024,0.3240165796559582,0.05038933508100443,0.042101359822148375,0.3520674003664546,0.7066281600275203
1024,0.342250571358787,0.048862535403644755,0.05328582241395075,0.30502541283263307,0.5609764357023369
1024,0.2880194130853755,0.04145902555766168,0.0434700783537619,0.30820560764238075,0.6014694705560573
1024,0.42527786848434995,0.059324094644394976,0.0638157211782654,0.4915204326274816,0.6889703663724899
1024,0.3562178151288714,0.05203982525431312,0.053495376540177046,0.4189314977489396,0.8166646256062338
1024,0.2606899624651935,0.04651411395935867,0.05378603333036497,0.4008350804735732,0.783241478914044
1024,0.516053616056093,0.0606993293521547,0.05192325283171725,0.5124580945093171,1.010068231781107
1024,0.31008431397347525,0.051258372930095414,0.0456950939202228,0.31324787228215173,0.6171966766357733
1024,0.5850290995339457,0.0640989802805954,0.03890508460101605,0.42336400092153603,0.5610719932651684
1024,0.24588106445565971,0.06158985624854714,0.059354799972378976,0.5420287537357926,0.790496150402365
1024,0.3181462383204836,0.051524998160225495,0.05910514471133466,0.39044872209982945,0.6147611060881647
1024,0.2777084295291979,0.04557274622230948,0.05454694238735948,0.3080136932942578,0.5558894686807011
1024,0.4768883247637765,0.053681321886182624,0.055919579896982985,0.49975226329410655,1.0399264767765404
1024,0.303317091139448,0.04837282267592677,0.051098348359430015,0.32460437433600425,0.4993469688636013
1024,0.3512286797252216,0.04991788864998795,0.0520267233507196,0.3073136872510023,0.49366535980411863
1024,0.39419873747131595,0.05749133924344486,0.06327749831436565,0.4543848351300615,0.7506404761922396
1024,0.36485610824123316,0.06551531610578194,0.06436902913252376,0.4898402953534869,0.7524313112991732
1024,0.38001502004202026,0.05252963512504608,0.056585714933840445,0.3874893046534872,0.5617004233072621
1024,0.6293751870962137,0.048437166683249606,0.0501950647667713,0.787238348915727,0.9743739318100773
1024,0.22907154403585586,0.053876008833883895,0.05757595308383137,0.3537122570662604,0.793556190885907
1024,0.31751686010471564,0.04603766664368487,0.04711070057661217,0.5607807372789066,1.0710240886441602
1024,0.3059178635120984,0.06306843096547013,0.04759482988076477,0.24646657077917558,0.5766245966500579
1024,0.31657718312397315,0.06250096362760249,0.05972234585879058,0.3856787927260443,0.655457016334875
1024,0.33633833048344597,0.045894074161936055,0.05141381641280249,0.3550543915251275,0.5692596475414182
1024,0.229896954669155,0.051981721646054954,0.060822145795839895,0.23883680561179169,0.6860102277812632
1024,0.19514352026569354,0.04306784000430954,0.044435413572711836,0.2337887375038901,0.3899497586496818
1024,0.327617325810241,0.06642802515765608,0.06154285449142212,0.318755564423059,0.5863645337097072
