n,L,mse,mse.stats,a.mse,b.mse
2048,32,0.4446727821542638,0.4252034304945501,0.045426511097845464,0.03788364196740371
2048,32,0.5831429856852574,0.5847759106809428,0.05018491842780246,0.050051358260295484
2048,32,0.2366153482011031,0.14809818947245879,0.041889660624605786,0.06534066905308263
2048,32,0.2105423880519434,0.2663864537362748,0.03726627631413652,0.04606536180501741
2048,32,0.29537335256237773,0.22094989307588167,0.04152473000904098,0.05116966753989054
2048,32,0.1544890317627059,0.1696727040352645,0.04728733200098805,0.03624330196079277
2048,32,0.2071642045996974,0.6913916712814862,0.049620853214578174,0.05741496272519053
2048,32,0.3483113678905295,0.3947252882388387,0.03031636060959891,0.03755446968707833
2048,32,0.1407253205968862,0.22510429294148163,0.03479952438231179,0.04352952638306535
2048,32,0.4196611389839219,0.3607893140009545,0.037827161602874276,0.046728365866170955
2048,32,0.4862813406164023,0.34712249933024064,0.04254385820936766,0.060911918605461565
2048,32,0.45330914316583387,0.49000726261963595,0.04304463075658347,0.03164345082471454
2048,32,0.23633139983548607,0.3551240660122317,0.03840762502830347,0.04964118429456057
2048,32,0.7150942582645617,0.5224170749869926,0.05107477606688004,0.05476699291295449
2048,32,0.24147278914581258,0.37722051534119844,0.028684781180803448,0.03735021496332416
2048,32,0.2952217474607654,0.3630370838449426,0.037771767805966826,0.03375725941605753
2048,32,0.4144835952879365,0.3690998240680544,0.040620249302389756,0.04771566212111813
2048,32,0.21361851466289555,0.20788986272253412,0.029373125632638615,0.03389388971413551
2048,32,0.5782887251775671,0.7377559711595594,0.04808259309696728,0.06442780843106802
2048,32,0.39197902371780063,0.2960203449193812,0.0276381436621361,0.03489090201514378
2048,32,0.36425047006741446,0.808117094554548,0.04522746653411933,0.042744966685196416
2048,32,0.4570420930827287,0.505825760171646,0.03560247560235313,0.04363152990062116
2048,32,0.45454755347705783,0.22982960623430942,0.04386060806132617,0.04687900904121422
2048,32,0.2913157874532428,0.31714499902704363,0.040753315480327464,0.05896263778130196
2048,32,0.3059732594416818,0.22289594296263815,0.04122941837835767,0.05127563866108372
2048,32,0.22346484566666222,0.25111682641382954,0.034692815943316406,0.04475326382598946
2048,32,0.3439295637890087,0.3180823107426597,0.04002666260131585,0.05126037734386852
2048,32,0.2568103647399808,0.20566150905068156,0.03877182292510451,0.04033104062562582
2048,32,0.4627347333855334,0.3590063928019918,0.05064698658935574,0.046322313171885794
2048,32,0.3931271850382879,0.3293790862141121,0.0326904651615391,0.036833713923828275
2048,32,0.36737658391803213,0.34500921478818725,0.04039467582150808,0.052057584276372665
2048,32,0.34714364593436914,0.42485539061850325,0.042255164575402446,0.04657756334385687
2048,32,0.25269210407163933,0.26401647586410026,0.046699953464583804,0.05816913507108374
2048,32,0.5454116492589383,0.5663247971452998,0.05442041789151766,0.05602068164311517
2048,32,0.33143805636342244,0.48644506226065704,0.03236050678976513,0.04836808191469449
2048,32,0.24501262065186794,0.43303319462033013,0.033455086471501666,0.048926773011787286
2048,32,0.29275550009410556,0.3234351361701217,0.029142890838414977,0.03161302501440249
2048,32,0.2508755888878869,0.31603951766799065,0.048066645604058794,0.06089218079196464
2048,32,0.20507870195513958,0.13148448248269404,0.03125325125703689,0.04085991840670115
2048,32,0.32993510274961035,0.5329203932754867,0.035161433588356814,0.053921353450001465
2048,32,0.2142340740257813,0.24994697293884405,0.03453986550130613,0.04139178795895211
2048,32,0.43349936235506614,0.4881231196571989,0.04334982653865082,0.04603138977394439
2048,32,0.4631082203280049,0.3268077183757058,0.03253505871014644,0.05059876196035572
2048,32,0.2732802415214769,0.41856837796241764,0.03521518170860867,0.038859024929739375
2048,32,0.4935475577669066,0.5883294323786731,0.0341445525979599,0.059906176779907776
2048,32,0.18886914601197857,0.25516233980848996,0.032060068305615454,0.03560268180773414
2048,32,0.24435859976521643,0.1863475555097234,0.033803931220779695,0.03974690795269296
2048,32,0.35397970949266233,0.33297195776493343,0.05792972199562467,0.06965711370265575
2048,32,0.43023542348035065,0.5204193100307437,0.03444208397889067,0.045540142554570104
2048,32,0.17303840961735426,0.27324240942424216,0.040038398392895073,0.04938177289474268
2048,64,0.4653358730910455,0.5129370737454481,0.04780571476282396,0.043967500113849596
2048,64,0.16605646181588476,0.17543048578826137,0.03957796846937116,0.05570301542905002
2048,64,0.2521615668196537,0.26759842437645837,0.044406031005014515,0.043706484750341654
2048,64,0.24325777494129355,0.34147471499909765,0.03996860691208854,0.04748471620613443
2048,64,0.308328430737955,0.24536538584839457,0.036313342992593034,0.04512894612461815
2048,64,0.2916625891687945,0.4229177835008547,0.042794244482975564,0.04627768471508806
2048,64,0.2675835295639911,0.2816882135876568,0.04474120054759175,0.05220408860375753
2048,64,0.39558884532288924,0.5211286023007871,0.03322827449338513,0.03555373718969085
2048,64,0.30722810065384176,0.27091280899389064,0.034996687467514186,0.040804775917626816
2048,64,0.4044924217908503,0.44640783131386486,0.037860368379551694,0.0496593552231059
2048,64,0.33674915934694194,0.375086755165658,0.04041497106823623,0.04318824829290879
2048,64,0.26247852382352976,0.2759418342786403,0.042306961770826816,0.05292082341125809
2048,64,0.37706672166484917,0.40913077852935203,0.03796111716083704,0.048014451243536586
2048,64,0.3093751670831687,0.27390962431333166,0.039399242763210184,0.04579570898474717
