n,mse,a.mse,b.mse,mse.d,mse.t
4096,0.2230232169572567,0.01694269727421199,0.022143203517691164,0.27084354093623725,0.3535358132972095
4096,0.1556889304652588,0.01608089194393616,0.022123582977455977,0.13652798196556276,0.23096282773467455
4096,0.16375095484268287,0.009508766228751978,0.015592076731688845,0.13608145543067895,0.22480684628124212
4096,0.27882452362406435,0.013827131060127687,0.02215360993846556,0.30678208402248003,0.4101164025489545
4096,0.29485868143850125,0.015273077210295445,0.017320892824499504,0.2686692564651427,0.3754334354717079
4096,0.38801986231166724,0.012916449302218221,0.017969038959860125,0.407874095300105,0.5180158574389222
4096,0.39342244062083026,0.010184918164046741,0.016366291078516212,0.3751863860747209,0.4615343318904539
4096,0.3432518856588545,0.008591558431411645,0.013280066405573221,0.3525516155160347,0.4971880578969502
4096,0.4694515870631539,0.014592318363684176,0.016372707682531414,0.4723190381089651,0.6000230979550576
4096,0.39461012017679714,0.010302076637882768,0.016704528324150092,0.39453324026434666,0.5192669070839983
4096,0.33084590662979146,0.010576015128997708,0.01644472279699885,0.3999083765749098,0.5250261938390676
4096,0.3525524655618536,0.013444768923131048,0.018544142984348998,0.3489336909278073,0.5117775264067644
4096,0.4628301264628571,0.011405353800213517,0.020799141719581783,0.48459493635958295,0.6147440912093595
4096,0.27658520806631615,0.013119033455641294,0.019023116727683673,0.29205574859588135,0.4174251949247404
4096,0.19423670968606707,0.011783155003396096,0.016772254403900073,0.23607726715620717,0.44123234266269556
4096,0.3210730374189687,0.010364255090859874,0.0180483227998593,0.3154686946059586,0.36470637882177337
4096,0.3665085412870416,0.018049505031967544,0.018183085130779854,0.3272481016028479,0.42945650984980976
4096,0.30433100124696755,0.014243934591478075,0.016148256779974186,0.29304464938946073,0.3327116817549076
4096,0.26630324632641555,0.014783673139437745,0.019508780264607582,0.26105509986244535,0.34188940236307797
4096,0.14857143680786675,0.011385729718158166,0.017724902285905123,0.17767725596848566,0.2722891654695009
4096,0.38558708524645097,0.014314095463700568,0.016562960655733233,0.3072653421408832,0.3903751841190382
4096,0.2736745073422504,0.007234232100437518,0.013939786829205963,0.2600486115677811,0.370482515061701
4096,0.2944528552949748,0.014011295608878718,0.016502783046731615,0.2821051519668873,0.33838906685783016
4096,0.3799604734125182,0.015949543901686125,0.020810612422629857,0.37637123234469416,0.46841124526343597
4096,0.34622038002958466,0.012686285744280478,0.019136874158439964,0.3782858990469062,0.3905122017128619
4096,0.3725102446710397,0.01703983351810795,0.019512369473396508,0.41307624707742147,0.5658158006849664
4096,0.22551525053270055,0.010503319951843924,0.012998378575110766,0.2547448497534615,0.3344087229058436
4096,0.42011316683302213,0.013879862249158307,0.014597588795347517,0.4283942025888064,0.6137325498626669
4096,0.2840685768655661,0.014549994627765366,0.018025180389352344,0.24110241777894742,0.3441108993997091
4096,0.24382995899978055,0.012206589871452194,0.01559822807040265,0.2349657460395352,0.380310807551014
4096,0.28882540313389354,0.01592640580353559,0.018209526241535847,0.26691263951046396,0.36307749352117347
4096,0.4010051782231673,0.012908856546661629,0.015746147020698965,0.327471482907849,0.4396943349266118
4096,0.2781194928622694,0.00998599705537129,0.013590566253355118,0.21846525531331526,0.38027845619036305
4096,0.2511134613635992,0.010950548908726347,0.01629393879018016,0.27036917902385654,0.328076396071972
4096,0.2081183542424845,0.01370923142722108,0.01976878815708845,0.3290059405411714,0.5352759591611101
4096,0.15847641352330194,0.021083756040607273,0.024523272190095008,0.16932422407052736,0.24418302589184754
4096,0.3176489445188341,0.016691251824154395,0.018023180035163806,0.32618593284242087,0.39219974012432657
4096,0.2931637750375854,0.009290996651713018,0.012982926669135643,0.2817274618795242,0.31843279583630946
4096,0.45158983271381314,0.014296651152547956,0.015337520517850443,0.3795256093521698,0.47017953913527477
4096,0.3264287922836203,0.00964345492111347,0.014326752680266591,0.34887670048372266,0.45180514612991884
4096,0.24099849849247526,0.010398972951740824,0.015893304043717714,0.24917710057135398,0.3373707822923411
4096,0.2632922812837567,0.012126573207198578,0.015366906064381462,0.22814729953265678,0.29895025633026473
4096,0.24138585516202285,0.013099935113705156,0.018901106648862548,0.23660522949284649,0.32441433105739315
4096,0.32971772954359163,0.019189810108718196,0.022161968048096083,0.32609053994387865,0.4321069495848627
4096,0.2411849362896722,0.011246466068450822,0.01626365608325309,0.270837020131034,0.3578342176453962
4096,0.1776228394676433,0.011397891730167309,0.015380550671441248,0.15284807271524567,0.22031489532538875
4096,0.2645332824097218,0.012943178840869056,0.019950949364054112,0.29089437986736844,0.3604724379452434
4096,0.3126357629186712,0.012636205175514392,0.016423957978767497,0.28993623512728056,0.3355421931976997
4096,0.2541531744171771,0.012760795107170087,0.01781112040749545,0.27366966000278586,0.24745380104054904
4096,0.3263936368571088,0.012428338675835964,0.01937969527792772,0.3419117565460119,0.4446427210736598
2048,0.25156168831853254,0.02241472017443544,0.02493168078630376,0.2396478313145821,0.3169315839020902
2048,0.2369607165516024,0.031342638657849,0.03213480096216105,0.21793788949770992,0.3700600024193242
2048,0.18304747122608375,0.0183825534580984,0.02469930256173313,0.17419453054756567,0.2872924446030254
2048,0.24366835765952496,0.01744197518792911,0.0277379300823071,0.3021454563840275,0.3567231709106118
2048,0.20438477087127505,0.01871580202413408,0.02039377482940388,0.12718832107447134,0.18444452653475937
2048,0.23381636523830177,0.0224277279344122,0.02974205220634271,0.22504347006532083,0.30506468417314864
2048,0.4229062411571733,0.01666162533600883,0.02589494748920403,0.32953201223589795,0.3911459470839057
2048,0.3734194145961094,0.01326646066360492,0.0185699758744357,0.4003651720991053,0.5527505415421168
2048,0.40299620383249385,0.02016793695295679,0.02983585671538733,0.29105759654721014,0.3682085426618435
2048,0.34319706998624705,0.02260303039331485,0.02486556617696769,0.3350494624828725,0.4430651400212765
2048,0.41206164356994207,0.01704171782842409,0.02578680788266951,0.37297769466146663,0.4353182760949135
2048,0.24401830651017112,0.01913504366833977,0.02165586076590118,0.26658616972320737,0.39733958654116586
2048,0.4538908065562557,0.021816854301056,0.02932035476385055,0.3968694340897883,0.5209170086975446
2048,0.257271933185502,0.02458589750296809,0.02674312711981727,0.2636834782809468,0.4180862250570833
2048,0.2957798720424469,0.02474797988377108,0.02858763036530868,0.25935229372406043,0.3864348604931995
2048,0.21063504218411772,0.01531000522184136,0.02004204714189801,0.20723595344319412,0.2808348503980991
2048,0.22497349464281943,0.03090747541680116,0.03385606036568807,0.24781112243530917,0.3830940689371684
2048,0.4364068354926573,0.01648922564016128,0.02475396418018792,0.4485796271260579,0.4891423594287111
2048,0.2611322467949689,0.0253215430275767,0.03405880567586209,0.23505216950911045,0.33458937282714124
2048,0.30298241130458814,0.01922208882396585,0.02818093229746003,0.27199787013556126,0.37154810678465006
2048,0.272405439822244,0.01986153037559742,0.023356049797851,0.24335214946647832,0.28447758834373155
2048,0.33683293566944683,0.01335442394454345,0.02291682411910508,0.3553896850062907,0.4608596449741704
2048,0.3519991774758863,0.02316657815985693,0.02167322612336816,0.3370095984294631,0.4575518825009795
2048,0.388715687851966,0.03158648595453319,0.0308367453449186,0.34793480580055886,0.4201051378710343
2048,0.3792625185992662,0.01931308526472588,0.02417477235914557,0.3899630931920909,0.4930190652782019
2048,0.35069820780982225,0.02010456484837213,0.02833269717016236,0.3840087539585895,0.5091595769214428
