n,mse,mse.m,mse.a,theta.mse
256,0.31023982734300426,0.3387708998729718,0.34021654955465863,0.0042199343292255095
256,0.30257708059102456,0.28991090059480473,0.2899639395565008,0.008273794014744583
256,0.29018462320799093,0.3317634004632667,0.3314232471241481,0.010492952724121676
256,0.332961251837861,0.3623175358056714,0.36239600610027134,0.010797152857926417
256,0.2780904751851204,0.3020866455040141,0.3020127602955523,0.008248100636793496
256,0.2669590251403399,0.23782690956970173,0.23908239996615657,0.005136370599596635
256,0.2458301884927434,0.2487356641011116,0.2506184928036664,0.0038742783152874655
256,0.20141447959760267,0.16908283606174235,0.16717272718147624,0.009215424802309979
256,0.16750547510085512,0.16565129544765236,0.1649830057826051,0.010114466372369763
256,0.260631504162236,0.2643582498921994,0.2634498968081584,0.005454253018423666
256,0.3384609325922312,0.2927542764486466,0.2941741723279178,0.004077681458474477
256,0.2114653550937924,0.21950350944517352,0.2212319314169607,0.010577444987509604
256,0.23862305955635577,0.2699605627257777,0.2698066724355536,0.008494530904789665
256,0.23736129518214116,0.26841456088138754,0.2690160829009616,0.014451155842113763
256,0.335164873437918,0.35066444638983824,0.35526535241257623,0.013766013319232388
256,0.2345399054433271,0.23512907491411797,0.24041744817425545,0.003635011368266128
256,0.22920730333783942,0.25911940572910896,0.2708731251158872,0.0023835230450380907
256,0.19956451958330526,0.1985165120832995,0.19910141898765094,0.005090349725016047
256,0.409071219896059,0.4312073437049709,0.4276709577783695,0.009432398086501849
256,0.3014705759812363,0.36197224489408353,0.35836088369767655,0.011957052930998122
256,0.37195499689420514,0.37360342900209736,0.3732398997795264,0.012159167299838082
256,0.42458114252891077,0.4332763538424243,0.43334516895880754,0.012880900824352629
256,0.3904548362886009,0.4262887863013007,0.42516735880399587,0.011440567776543365
256,0.35808302761776806,0.3985170004008278,0.39555169869943085,0.010339787485206933
128,0.1971698967530443,0.21247183298263064,0.21114374304855577,0.02525821567760717
128,0.1854921541306356,0.16181283128471388,0.16365073571296754,0.02067164470983609
128,0.29124457714447927,0.26446583940474555,0.2605116718314465,0.02463203884990328
128,0.22056499305085156,0.19711095291823777,0.19940858517553928,0.02199206603621577
128,0.21811762615282757,0.22417624346266515,0.2267878105516104,0.01842872623741406
128,0.26694116201271106,0.2866229063440176,0.2863359571456277,0.02848867272358279
128,0.30607455942506134,0.33230362145441067,0.33480288211833437,0.01297389259659695
128,0.16471665300302488,0.1461754516505772,0.14700540087353928,0.02588549397259451
128,0.28449083397417335,0.2873800585361555,0.2842650646429531,0.05160510748179985
