n,mse,a.mse,b.mse
512,0.7392066033042037,0.21964209509988167,0.4844829988221691
512,0.8787489597182017,0.25696211328340934,0.17603616991184373
512,0.5449996338552245,0.2474594983222612,0.811061808839724
512,2.1477848597283486,0.3858165327729836,0.4477019734310712
512,0.568233422769303,1.4504850076468792,68.36787546001294
512,0.734670927561032,0.40434496711006185,0.6405094680963285
512,0.8429111340359549,0.27098360828151513,0.18266269905290003
512,0.9317542728762672,0.2946554178291716,0.2163864941657439
512,0.8406823226439727,0.4179577971727578,0.19033938583346005
512,0.6429562111752881,0.1912169919200909,0.2659804964779194
512,0.6418898103196076,0.33601380401159475,0.6005091781414869
512,12.231160657232213,5.643386595490467,7.318585716128436
512,0.5216864746710522,0.18244174099106883,0.7589531289349349
512,1.3394128820734366,0.6538455925508134,0.3917742978760137
512,0.6718002919338941,0.1964840435969577,0.5340257689018855
512,0.5446388396938743,0.5082056212646937,1.0778947631859497
512,1.0339400868769972,0.21263331341615496,0.2942329454062052
512,65.83924411602574,11.717801702927726,12.681877475359457
512,1.629947797584506,0.30027063797856157,0.23347743630876197
512,0.527517249538387,0.34776206793938524,0.8057565765818179
512,1.0946627424844535,0.3162071802030338,0.5481605333365277
512,0.4524359156618306,0.24518616221865103,0.29629413055799103
512,1.0315220876352644,0.3464109516416933,0.2576795847785001
512,0.7178251844678883,0.19210643631049967,0.4898717089657793
512,1.2563208896827436,0.32471496535358824,0.3323902283870653
512,0.5074067368901094,0.18050009301723752,0.22023802935648437
512,1.6777697584118816,0.5942593306443691,0.500741720310363
512,0.6985636281495982,0.23004471026341075,0.28847449807666725
512,0.7074941372998501,0.33267899097814896,0.5418192847298924
512,0.9282393356920284,0.24088609900938543,0.3496635344864234
512,0.6049019739193708,0.1861942947046581,0.15900181011741674
512,0.5984573065676024,0.2291236632914949,0.3416045625633018
256,0.5074092170724366,0.2511118057984935,0.566575291867047
256,1.2222020054356268,0.5004678629024304,0.64530823877036525
256,0.9510821279747134,0.5776143624523683,0.6168468798728177
256,0.33359603893558,0.17446111409659448,0.1854761922415854
256,0.20549563563423665,0.19240331598951915,0.4407777689365696
256,0.7034490084024122,0.3567220211752123,0.35561493377673214
256,0.4721552868589378,0.2906185292323203,0.5318512922961381
256,0.7273483483961344,0.4363648714598653,0.6284458502922173
256,0.3950903739061856,0.195310957901909,0.22666572616099484
256,1.225281071458936,0.3467309081742308,0.5185454528455511
256,1.0993797799241547,0.6227192715029898,0.4365859683054907
256,0.5437160510429271,0.16306519266809402,0.34948504487195814
256,0.5619711029146677,0.3831910024095203,0.3760042141924665
256,0.7423182484605035,0.1649104542310711,0.497831439176476
256,0.9183217202229798,0.4446331391634155,0.675835532747632
256,1.2326220378098145,0.3895996619625249,0.6878681915196844
256,0.6038597829080892,0.171525250388955,0.3061119692652265
256,1.9822407512936595,0.35997400185746514,0.4822909031602358
256,0.3985809031384534,0.17566312223659267,0.4456796655926646
256,0.5313193288667699,0.34042638919226875,0.22251415133336053
256,0.7550503663754287,0.2554156582524012,0.2013335544642548
256,0.6212068536765334,0.24830773468741785,0.4812865860400175
256,0.4546077947254504,0.12849582729586664,0.34201112680842216
256,0.5048596822655453,0.2194786520005063,0.3944727591912982
256,0.46287273308640114,0.20162598658759473,0.16723470892175016
256,1.795424092927996,0.2820854052972689,0.6785293375860636
256,0.5289428170150561,0.2277426936524269,0.3764105385333446
256,0.9985464627361826,0.374298182819241,0.3748852353446184
256,0.6576602624329544,0.2375651460189447,0.7625023965535783
256,0.4706282402896262,0.3892387738615056,0.6019927664482065
256,0.6042556042172662,0.4676814886189134,0.41231601989926325
256,0.6275404942007532,0.23226499045469204,0.6129864315429484
128,0.5866164668891749,0.18198389120261896,0.4990912942961361
128,0.57626553414861,0.21477725660303532,0.24759990558100303
128,0.6882312320594818,0.2567286019144501,0.5909354584681594
128,0.6307979939425669,0.26220843834670743,0.4016016294195124
128,0.5916038903624297,0.248130664886391,0.3348727122576869
128,0.926285453583619,0.32761377099968264,0.34121422137259183
128,0.6210621643650385,0.2927034539019635,0.286733662067147
128,2.274327670169394,0.4731426186264366,0.646244921241745
128,0.8369946020156581,0.3112859457766656,0.6822696918767237
128,0.5089135944731181,0.18606129704869073,0.2205813697259017
128,0.7118684803962896,0.2688970857430925,0.5343178304520478
128,0.7246499743048884,0.35509848990640236,0.5095073104856451
128,0.870523107680072,0.33250916227250576,0.5851989943474601
128,1.2187813843824784,0.2475694996263328,0.31640265091798464
128,0.44035180817603986,0.22456867720277815,0.5863137480066816
128,0.2308371989503588,0.24397775947352665,0.3077840370736161
128,0.5360573352771054,0.21493795610996924,0.5324068648074092
128,0.5005741137204663,0.26170134281620006,0.4152030888630476
128,0.9535432949882002,0.24826686114140417,0.3911555805842563
128,0.6888402501137282,0.309549036144897,0.5688116777668658
128,0.4604646682316146,0.3134554550484494,0.3199882673518288
128,1.0967603998030884,0.4420789538521738,0.47956219529272454
128,1.3737262482655843,0.33124996782856286,0.2450060929057099
128,0.6099354928080615,0.6372809684801204,1.0303779555092158
128,0.45268851564701706,0.25530266398981183,0.6156086741494323
128,0.4224786330592671,0.20331390095899388,0.32871404130249837
128,0.6554815798617546,0.22460866656688663,0.3613757707596318
128,0.6704455638392702,0.30895754937997716,0.44221428035125976
128,3.023020052220021,0.3640628242927643,0.7488808177354792
128,1.1996333042687095,0.31601396519478453,0.4405928835312342
128,0.42899166491500984,0.23364886348165775,0.21816415817546697
128,1.2219214145071986,0.4063694558541377,0.4620400452061479
64,0.5375724390019557,0.2632083743967424,0.3182288402882003
64,0.6030490772036327,0.4623432847230931,0.5023958058734336
64,1.1434183011380186,0.5278502525146891,0.6568793967923341
64,0.7828195769494535,0.5306535304600838,0.6246818419310886
64,1.233529314051835,0.3600170196681606,0.5333792259203427
64,0.7029179908129668,0.40514434059548365,1.1040559979539246
64,1.7076037829813395,0.47466086609031255,0.5393257809652987
64,1.554516475471457,0.4909213036153646,0.8333678934861668
64,8.001323927027329,2.0219257378791218,4.827103932183421
64,0.7682406215843754,0.4839205473713299,0.86181908817326
64,0.8760599213101506,0.7911424388547442,1.095590906706967
64,1.0060670409553123,0.3598220100486178,0.9398367777339848
64,0.8033235928268787,1.3234633345346505,6.055065223404767
64,0.9586735987566732,0.28643813101282417,0.6401681905460004
64,0.9039146821648454,0.4518930107593996,0.3264440837441422
64,0.9281954572175992,0.26664763111112594,0.597707702060918
64,0.7526493189144159,0.24850880033531436,0.4613439650273103
64,1.2081600426544972,0.4820389555199645,0.9528422269421716
64,1.0518437545622028,0.4504545849153944,0.719189283142969
64,1.117987109904161,0.318399386435506,0.5670729658019293
64,0.7673456844217583,0.2828777099700138,0.42684956992796574
64,1.1369411091772923,0.4727705040149758,0.7868386127215261
64,1.1855358357126209,0.3121552046856604,0.4624995490563794
64,1.258592899484951,0.6433370977047076,0.9727606631741944
64,1.105046945813506,0.2323999342054003,0.5013444797943126
64,0.5564780132896021,0.28064417546061676,0.39826354923865587
64,303.1005169548607,27.102436249971568,0.7943278516515764
64,1.099361230130891,0.4211206422856284,0.530530087668046
64,0.8569588235303699,0.2579808476957353,0.5207817785622715
64,0.9535882571437992,0.4406137274137162,0.3835434914633325
64,0.6957742878367664,0.3679144043157523,0.32282719416087985
64,0.5663878792645647,0.27527417349540184,0.5539223380994619
