n,mse,theta.mse
1024,2.462727355497937e-5,2.7603939359070096e-5
1024,2.679277476394216e-5,2.8418030990812853e-5
1024,1.921176191326075e-5,4.074549103287429e-5
1024,4.570619953599639e-5,3.8383811570419905e-5
1024,2.4460319017379658e-5,3.067821914074793e-5
1024,4.3404437978978477e-5,3.7570486336018564e-5
1024,3.3409978335663335e-5,4.911227186699464e-5
1024,2.9942466115875243e-5,3.671182877457353e-5
1024,3.128784035890601e-5,4.0419267291338504e-5
1024,2.540820222562228e-5,3.178368952360284e-5
1024,3.062558476708525e-5,4.021561827375886e-5
1024,2.7951794396598725e-5,3.196083894857997e-5
1024,3.4407521965290486e-5,3.421730906440898e-5
1024,3.9465301618896237e-5,4.0412587858596015e-5
1024,2.7058793998217242e-5,3.18226297929648e-5
1024,2.9859233814183662e-5,3.2121011411506844e-5
1024,3.337823129600401e-5,3.188345560349624e-5
1024,3.715323268579694e-5,3.98705176514538e-5
1024,2.362234763522274e-5,3.962792983101905e-5
1024,3.2295588266675926e-5,3.688401450470126e-5
1024,2.1279958112029504e-5,3.058676476390542e-5
1024,3.182732280027749e-5,3.5669465095768885e-5
1024,1.2139163665714336e-5,3.013625045301848e-5
1024,2.2809599987712645e-5,4.098912893043829e-5
1024,3.369566419402753e-5,3.755052231560358e-5
1024,2.70167895494921e-5,3.0402357001113423e-5
1024,1.6312720203603914e-5,2.2116806802581093e-5
1024,3.773823608297089e-5,3.880392601553403e-5
1024,2.4558715988859802e-5,4.173259688258838e-5
1024,2.2451808466902015e-5,3.926975456338062e-5
1024,3.315106563124202e-5,4.5126141382967746e-5
1024,2.4784792882672538e-5,2.3981443565502196e-5
512,1.9945126182382929e-4,1.6738988433719223e-4
512,1.2218962941486707e-4,2.168670398007277e-4
512,1.8623212900672345e-4,2.7904846573844667e-4
512,1.682359040677553e-4,2.4734210509378177e-4
512,8.53362509008452e-5,1.7949290894121262e-4
512,1.0866747027462924e-4,2.1249471405638482e-4
512,1.8209698531411524e-4,2.20300526565845e-4
512,1.3623721170478013e-4,1.567599198343874e-4
512,1.36996636833056e-4,1.6305627366443483e-4
512,1.040558485511565e-4,1.6683243897541857e-4
512,1.0433357688387398e-4,1.9312822967433712e-4
512,1.501282956416094e-4,1.4302346408801933e-4
512,1.0270664395840303e-4,1.823705264402994e-4
512,1.2888406703002862e-4,2.0132432787233e-4
512,1.1310904941835727e-4,1.623884488601257e-4
512,1.3927798371620432e-4,2.156399173518171e-4
512,1.7442138148348523e-4,1.9848896705545446e-4
512,7.942540748405619e-5,1.600019902979252e-4
512,2.2043248703666234e-4,2.970125747729407e-4
512,1.48722377786019e-4,1.962226502224128e-4
512,8.558219850919753e-5,1.36130793344759e-4
512,1.4197398722424866e-4,1.8676504329439783e-4
512,2.2608940539398095e-4,2.3991540092319498e-4
512,9.27349226916413e-5,2.6654831732610097e-4
512,1.4508284493309944e-4,2.2349488647626842e-4
512,1.3326498757672183e-4,1.7368209470992695e-4
512,2.02591544058426e-4,3.1276126477300587e-4
512,1.0585538657121248e-4,1.8682215757597935e-4
512,1.0776487869013173e-4,1.7657651950647317e-4
512,5.504089998114928e-5,1.4649038810473118e-4
512,1.3201114030072725e-4,1.7623762655869188e-4
512,1.0262611649517783e-4,2.0341656936474916e-4
256,7.342486374122103e-4,0.0018880020672887633
256,9.397408050954191e-4,0.001850671988704841
256,0.0010049535233787146,0.0024257800813557175
256,6.334607927803921e-4,0.0020541326959417944
256,8.13931647874615e-4,0.001696203314155086
256,9.895340625078676e-4,0.0017338844287100655
256,0.0010435825907037692,0.0011821681247608808
256,6.058425067928888e-4,0.0019213607395417837
256,4.4959527536666974e-4,0.0014570665520666863
256,5.318601146474267e-4,0.002388309515537275
256,5.338067448060654e-4,0.0013087381622741525
256,9.762834669627763e-4,0.0016883792453080847
256,7.599765299503336e-4,0.0016614577573442388
256,9.355306761748353e-4,0.001384850572716776
